id,location,one_time_participant
0,HB,False
1,BA,False
2,BA,False
3,BA,False
4,BS,False
5,BS,False
6,OP,True
7,BO,False
8,BS,False
9,GO,False
10,BA,False
11,ST,False
12,OP,False
13,ST,True
14,OP,False
15,OP,True
16,OP,False
17,OP,True
18,OP,True
19,OP,True
20,OP,True
21,OP,False
22,OP,False
23,GO,True
24,BS,True
25,OP,False
26,BS,True
27,OP,True
28,OP,True
29,OP,True
30,OP,False
31,OP,True
32,OP,True
33,OP,True
34,BS,False
35,OP,True
36,OP,True
37,OP,False
38,OP,True
39,OP,False
40,OP,True
41,OP,True
42,HA,False
43,OP,True
44,OP,True
45,GO,False
46,OP,True
47,OP,True
48,OP,True
49,OP,True
50,BO,False
51,OP,False
52,OP,True
