id,location,one_time_participant
0,OP,True
1,BS,True
2,BS,True
3,OP,False
4,ST,True
5,BS,False
6,OP,False
7,BS,False
8,OP,False
9,DD,True
10,HB,False
11,GO,False
12,BA,False
13,BS,True
14,OP,True
15,ST,True
16,LA,True
17,ST,True
18,KP,True
19,HB,True
20,BA,False
21,HB,True
22,ST,False
23,JE,False
24,BS,True
25,JE,False
26,ST,True
27,BS,True
28,BO,False
29,OP,True
30,BS,False
31,BA,False
32,JE,False
33,HB,True
34,BS,False
35,HB,True
36,LA,False
37,SD,False
38,OP,False
39,BS,True
40,OP,False
41,KP,False
42,BS,False
43,HB,True
44,OP,False
45,HB,False
46,AU,True
