id,location,one_time_participant
0,HA,True
1,ST,True
2,JE,True
3,OP,True
4,LA,True
5,BA,True
6,HA,True
7,ST,True
8,BS,False
9,JE,True
10,BS,False
11,OP,False
12,HB,False
13,GO,False
14,ST,True
15,BA,False
16,ST,True
17,BA,True
18,JE,True
19,NZ,True
20,JE,True
21,BV,True
22,NZ,False
23,JE,True
24,JE,True
25,OP,True
26,JE,True
27,JE,True
28,BA,False
29,GO,False
30,BA,True
31,AU,False
32,JE,False
33,JE,False
34,BA,True
35,BO,True
36,KP,True
37,BA,False
38,JE,False
39,OP,True
40,BS,False
41,LA,False
42,NZ,True
43,GO,True
44,KP,False
45,OP,False
46,OP,False
47,JE,True
48,KP,False
49,JE,True
50,BA,False
51,OP,True
52,BO,True
53,OP,True
54,JE,True
