id,location,one_time_participant
0,BA,False
1,BS,False
2,BS,False
3,BS,False
4,BA,False
5,ST,True
6,BS,False
7,BA,True
8,BS,False
9,KP,False
10,BA,False
11,BS,False
12,OP,False
13,BS,True
14,BS,True
15,OP,False
16,KP,True
17,OP,False
18,BS,True
19,KP,True
20,KP,True
21,OP,False
22,BS,False
23,BA,False
24,BA,False
25,OP,True
26,HA,False
27,BS,True
28,BA,True
29,KP,False
30,OP,True
31,KP,True
32,OP,True
33,KP,True
34,KP,True
35,KP,True
36,KP,True
37,BO,False
38,HB,False
39,BS,True
40,KP,True
41,BS,True
42,GO,False
43,GO,False
44,OP,False
45,ST,False
46,NZ,True
47,BA,True
48,KP,False
49,NZ,False
50,KP,True
51,KP,True
52,KP,True
53,KP,True
54,BS,False
55,KP,True
