id,location,one_time_participant
0,GO,False
1,OP,False
2,BS,False
3,BA,False
4,BS,True
5,BA,False
6,OP,True
7,BA,False
8,BS,True
9,BS,False
10,OP,False
11,OP,True
12,BS,True
13,GO,False
14,BS,True
15,BS,True
16,NZ,True
17,BS,False
18,OP,False
19,BS,True
20,BO,True
21,HA,False
22,BO,False
23,BS,True
24,BS,False
25,BS,True
26,BS,True
27,BS,True
28,KP,False
29,OP,True
30,NZ,True
31,BS,True
32,BA,False
33,OP,False
34,GO,False
35,BS,True
36,OP,True
37,GO,True
38,OP,True
39,KP,True
40,BS,True
41,AU,True
42,OP,False
43,NZ,True
44,BS,True
45,,True
46,BS,False
47,BS,True
48,BS,False
49,BS,False
50,SD,True
51,BS,True
52,BS,True
53,BS,True
54,BS,True
55,BO,False
56,BS,False
